municipio,delta_validado_total,imoveis
São Félix do Xingu,790303.5240277833,2271
Altamira,240786.55881434298,1840
Ourilândia do Norte,63549.324396452525,138
Jacareacanga,35759.4183404834,342
Monte Alegre,32941.250864084745,370
Óbidos,31929.769802233248,312
Alenquer,24236.906555295787,329
Oriximiná,20593.598484314512,173
Porto de Moz,18664.545061684457,193
Senador José Porfírio,16941.986875607883,305
Parauapebas,15825.30316280071,67
Trairão,13597.507921287519,219
Nova Esperança do Piriá,8318.238130522916,24
Belterra,6951.201597008063,64
Almeirim,5163.161451686724,1107
Faro,4093.584523131463,16
Aveiro,3168.3586442448945,380
Quatipuru,97.51002000000004,3
Abaetetuba,0,57
Abel Figueiredo,0,39
Acará,0,189
Afuá,0,48
Anajás,0,219
Ananindeua,0,15
Anapu,0,353
Augusto Corrêa,0,17
Aurora do Pará,0,110
Bagre,0,145
Baião,0,136
Bannach,0,176
Barcarena,0,19
Belém,0,97
Benevides,0,39
Bom Jesus do Tocantins,0,127
Bonito,0,31
Bragança,0,86
Brasil Novo,0,281
Brejo Grande do Araguaia,0,63
Breu Branco,0,183
Breves,0,67
Bujaru,0,32
Cachoeira do Arari,0,89
Cachoeira do Piriá,0,56
Cametá,0,38
Canaã dos Carajás,0,100
Capanema,0,25
Capitão Poço,0,118
Castanhal,0,71
Chaves,0,395
Colares,0,7
Conceição do Araguaia,0,299
Concórdia do Pará,0,49
Cumaru do Norte,0,309
Curionópolis,0,139
Curralinho,0,13
Curuá,0,48
Curuçá,0,11
Dom Eliseu,0,494
Eldorado do Carajás,0,93
Floresta do Araguaia,0,153
Garrafão do Norte,0,91
Goianésia do Pará,0,370
Gurupá,0,52
Igarapé-Açu,0,51
Igarapé-Miri,0,44
Inhangapi,0,24
Ipixuna do Pará,0,320
Irituia,0,77
Itaituba,0,1609
Itupiranga,0,402
Jacundá,0,110
Juruti,0,356
Limoeiro do Ajuru,0,14
Magalhães Barata,0,8
Marabá,0,743
Maracanã,0,15
Marapanim,0,17
Marituba,0,14
Medicilândia,0,306
Melgaço,0,66
Mocajuba,0,16
Moju,0,434
Mojuí dos Campos,0,184
Muaná,0,175
Mãe do Rio,0,40
Nova Ipixuna,0,54
Nova Timboteua,0,34
Novo Progresso,0,1092
Novo Repartimento,0,635
Oeiras do Pará,0,57
Ourém,0,58
Pacajá,0,687
Palestina do Pará,0,49
Paragominas,0,983
Pau D'Arco,0,87
Peixe-Boi,0,38
Piçarra,0,133
Placas,0,158
Ponta de Pedras,0,125
Portel,0,1247
Prainha,0,688
Primavera,0,13
Redenção,0,207
Rio Maria,0,249
Rondon do Pará,0,664
Rurópolis,0,135
Salinópolis,0,2
Salvaterra,0,40
Santa Bárbara do Pará,0,45
Santa Cruz do Arari,0,35
Santa Izabel do Pará,0,55
Santa Luzia do Pará,0,55
Santa Maria das Barreiras,0,485
Santa Maria do Pará,0,25
Santana do Araguaia,0,442
Santarém,0,408
Santarém Novo,0,14
Santo Antônio do Tauá,0,25
Sapucaia,0,44
Soure,0,86
São Caetano de Odivelas,0,21
São Domingos do Araguaia,0,75
São Domingos do Capim,0,88
São Francisco do Pará,0,29
São Geraldo do Araguaia,0,132
São João da Ponta,0,5
São João de Pirabas,0,26
São João do Araguaia,0,57
São Miguel do Guamá,0,60
São Sebastião da Boa Vista,0,26
Tailândia,0,282
Terra Alta,0,9
Terra Santa,0,29
Tomé-Açu,0,396
Tracuateua,0,22
Tucumã,0,98
Tucuruí,0,71
Ulianópolis,0,294
Uruará,0,438
Vigia,0,19
Viseu,0,207
Vitória do Xingu,0,173
Xinguara,0,151
Água Azul do Norte,0,378
